cve_id,host,owner,epss_score,identity_exposure_score,unified_risk_score
CVE-2021-44228,192.168.1.10,vikram_29,0.99999,0.9,0.95
CVE-2017-0144,192.168.1.10,vikram_29,0.9923,0.9,0.946
CVE-2021-26855,192.168.1.17,priya_20,0.99996,0.7,0.85
CVE-2015-4000,192.168.1.13,john_16,0.9986,0.7,0.849
CVE-2022-30190,192.168.1.17,priya_20,0.99234,0.7,0.846
CVE-2018-7600,192.168.1.14,sara_8,0.99991,0.5,0.75
CVE-2017-5638,192.168.1.14,sara_8,0.99999,0.5,0.75
CVE-2019-19781,192.168.1.19,sara_1,0.99999,0.5,0.75
CVE-2017-11882,192.168.1.20,sara_21,0.99945,0.5,0.75
CVE-2020-5902,192.168.1.20,sara_21,0.99999,0.5,0.75
CVE-2021-21972,192.168.1.19,sara_1,0.99865,0.5,0.749
CVE-2015-2808,192.168.1.13,john_16,0.73851,0.7,0.719
CVE-2014-0160,192.168.1.11,sara_10,0.99999,0.4,0.7
CVE-2019-0708,192.168.1.11,sara_10,0.99999,0.4,0.7
CVE-2018-8174,192.168.1.21,priya_12,0.88508,0.4,0.643
CVE-2021-40444,192.168.1.22,john_24,0.9745,0.3,0.637
CVE-2016-0189,192.168.1.22,john_24,0.94062,0.3,0.62
CVE-2019-11510,192.168.1.16,raj_25,0.99999,0.1,0.55
CVE-2018-13379,192.168.1.18,vikram_28,0.99999,0.1,0.55
CVE-2020-14882,192.168.1.18,vikram_28,0.99997,0.1,0.55
CVE-2015-1635,192.168.1.23,amit_27,0.99999,0.1,0.55
CVE-2014-6271,192.168.1.23,amit_27,0.99999,0.1,0.55
CVE-2020-1472,192.168.1.12,sara_13,0.99512,0.1,0.548
CVE-2012-1823,192.168.1.24,unknown,0.99998,0.0,0.5
CVE-2021-34527,192.168.1.15,unknown,0.99792,0.0,0.499
CVE-2020-0601,192.168.1.16,raj_25,0.89436,0.1,0.497
CVE-2013-2566,192.168.1.12,sara_13,0.84424,0.1,0.472
CVE-2010-3333,192.168.1.24,unknown,0.89497,0.0,0.447
CVE-2019-0803,192.168.1.21,priya_12,0.4523,0.4,0.426
CVE-2016-5195,192.168.1.15,unknown,0.83524,0.0,0.418
